[7.1.2021 | 16:56:15] [Eωil]: JEbać <@!674351923607896110> 

[25.1.2021 | 13:46:28] [..nath]: Omg 

[25.1.2021 | 13:46:30] [..nath]: Jesteś 

[25.1.2021 | 13:46:32] [..nath]: W końcu 

[25.1.2021 | 13:46:42] [..nath]: Najgorsze minuty mego życia 

[25.1.2021 | 13:46:50] [sirvel_wolf]: xd 

[25.1.2021 | 13:47:5] [sirvel_wolf]: za niedługo mam kolejną lekcje 

[25.1.2021 | 13:47:43] [NoOne]: Tak samemu ;-; 

[25.1.2021 | 13:48:3] [Chmielewski002]: <@598536600493752320> ? 

[25.1.2021 | 13:48:31][sirvel_wolf]: wtf [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803244911737700372/bc5.png] 

[25.1.2021 | 13:48:37] [sirvel_wolf]: kto tak robi 

[25.1.2021 | 13:48:39] [sirvel_wolf]: ? 

[25.1.2021 | 13:48:41] [Chmielewski002]: Klej na ciepło 

[25.1.2021 | 13:48:54] [Chmielewski002]: Z celownikiem 

[25.1.2021 | 13:49:0] [Chmielewski002]: Ja tak robie 

[25.1.2021 | 13:49:1] [sirvel_wolf]: i chwytakiem 

[25.1.2021 | 13:49:9] [..nath]: Szczerze? 

[25.1.2021 | 13:49:11] [Chmielewski002]: Japierdole 😂 

[25.1.2021 | 13:49:19] [sirvel_wolf]: do jakieko ciula to sie przydaje 

[25.1.2021 | 13:49:27] [Chmielewski002]: Haah, racja 

[25.1.2021 | 13:49:40] [sirvel_wolf]: to nie karabin że bedzie sie strzelać 

[25.1.2021 | 13:49:42] [Chmielewski002]: Aż przeklnąłem z śmiechu 

[25.1.2021 | 13:49:49] [Chmielewski002]: Wowww 

[25.1.2021 | 13:50:15] [sirvel_wolf]: to nawet 5 minimetrów nie poleci 

[25.1.2021 | 13:50:18] [Chmielewski002]: Przekląłem aż ze sm ie chu 

[25.1.2021 | 13:50:33] [sirvel_wolf]: klej du pe 

[25.1.2021 | 13:50:40] [Chmielewski002]: <:PepeOk:795980596685701152> 

[25.1.2021 | 13:51:5] [Chmielewski002]: Tak, teraz szczerze i bez żadnych zbędnych żartów 

[25.1.2021 | 13:51:32] [..nath]: Pół na pół 

[25.1.2021 | 13:51:38] [Chmielewski002]: Okej 

[25.1.2021 | 13:51:43][sirvel_wolf]: bo cie z mojego UZA1 roz pier dole [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803245721133776946/UJW5ZSbh.png] 

[25.1.2021 | 13:51:48] [Chmielewski002]: Jezeli jest to szczera odpowiedz to się cieszę 

[25.1.2021 | 13:51:54] [Cichy]: Nie omijamy cenzury. 

[25.1.2021 | 13:52:17] [Chmielewski002]: Ale szybki admin 

[25.1.2021 | 13:52:18] [sirvel_wolf]: oki ostatni raz to buło odemnie 

[25.1.2021 | 13:52:23] [Chmielewski002]: Fast fast fast fast 

[25.1.2021 | 13:52:37] [NoOne]: Mam nadzieję 

[25.1.2021 | 13:52:39] [NoOne]: <:AK_Triggered_Nani:752082354868060231> 

[25.1.2021 | 13:52:46] [Chmielewski002]: https://tenor.com/view/project-jojo-pjj-pjj-admin-project-jojo-admin-unerthadox-gif-18324420 

[25.1.2021 | 13:52:47] [sirvel_wolf]: o nie anime 

[25.1.2021 | 13:53:19][sirvel_wolf]: uwaga p47 jest tu [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803246123371724841/2Q.png] 

[25.1.2021 | 13:53:28] [Chmielewski002]: O kurde 

[25.1.2021 | 13:53:32] [Chmielewski002]: To dobra broń 

[25.1.2021 | 13:53:38] [Chmielewski002]: Szkoda,  ze ona nie na klej 

[25.1.2021 | 13:53:51] [Chmielewski002]: A na kulki:( 

[25.1.2021 | 13:54:41] [sirvel_wolf]: uwaga nowy przeciwnik sie zbliża 

[25.1.2021 | 13:54:50][sirvel_wolf]: aug90 [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803246505179086858/ac099793b53a1ef71b1320e82bb6628fa27b2c939dbfcee1fde172d8294fe756_1.png] 

[25.1.2021 | 13:55:2] [Rycesz]: Wtf 

[25.1.2021 | 13:55:49] [Chmielewski002]: Noo 

[25.1.2021 | 13:55:53] [Chmielewski002]: Mocna broń 

[25.1.2021 | 13:56:30] [Chmielewski002]: XD 

[25.1.2021 | 13:56:33] [Chmielewski002]: Nie mogę 

[25.1.2021 | 13:57:29][sirvel_wolf]: gluger czy locc [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803247168030244894/zyjzrnpao6m31.png] 

[25.1.2021 | 13:58:49] [sirvel_wolf]: nawet nie wiem jak to nazwać 

[25.1.2021 | 13:58:52][sirvel_wolf]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803247518389239818/l8A3XUbEqi1c_urIri9hj3lfx8EluxsANkNQNMgJoVWnFxDZJnwN7ypRnBd9dpY_tCj4cK0dLJBALHTK5gmn_coat-9xo3EfbuIu.png] 

[25.1.2021 | 13:59:13] [Chmielewski002]: https://tenor.com/view/what-are-you-talking-about-weird-look-innocent-gif-16733856 

[25.1.2021 | 14:1:50][sirvel_wolf]: ten widziałem w filmie na yt czyli jest prawdziwy można kupić [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803248261799608380/marcin-kowalski-defender-prev-0001.png] 

[25.1.2021 | 14:2:51][sirvel_wolf]: ktoś lubi LKM-y? [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803248512463536178/f18f834ee9672e84decee077823dc8d6.png] 

[25.1.2021 | 14:5:33] [..nath]: <@562341280726908930> możesz być dumny 

[25.1.2021 | 14:5:36] [sirvel_wolf]: ide na lekcje eoooo 

[25.1.2021 | 14:5:40] [..nath]: Pa 

[25.1.2021 | 14:6:11] [NoOne]: Hmmm 

[25.1.2021 | 14:7:26] [..nath]: Spałam 4h 

[25.1.2021 | 14:7:33] [..nath]: I cóż zjadłam 

[25.1.2021 | 14:7:45] [NoOne]: Cieszę się 

[25.1.2021 | 14:7:53] [NoOne]: Ja spałem też coś koło tego :p 

[25.1.2021 | 14:8:14] [..nath]: No ja mam nadzieje 

[25.1.2021 | 14:8:26] [NoOne]: 😁 

[25.1.2021 | 14:11:10] [..nath]: Chcesz mi powiedzieć ze kłamiesz? 

[25.1.2021 | 14:11:22] [NoOne]: Nie 

[25.1.2021 | 14:11:30] [NoOne]: Nie kłamię 

[25.1.2021 | 14:11:35] [..nath]: To dobrze 

[25.1.2021 | 14:11:41] [..nath]: Musisz spać i jeść 

[25.1.2021 | 14:11:47] [NoOne]: Ty też 

[25.1.2021 | 14:12:24] [..nath]: Ja to tam bajka 

[25.1.2021 | 14:12:29] [..nath]: Swoje przeżyłam 

[25.1.2021 | 14:13:29] [..nath]: Ważne żebyś ty był zdrowy 

[25.1.2021 | 14:14:19] [NoOne]: Ty też musisz 

[25.1.2021 | 14:14:32] [..nath]: Nic nie musze ewentualnie mogę 

[25.1.2021 | 14:14:56] [NoOne]: Ja też mogę :) 

[25.1.2021 | 14:15:8] [..nath]: Ty musisz 😘 

[25.1.2021 | 14:15:18] [NoOne]: Nie :D 

[25.1.2021 | 14:15:29] [..nath]: Tak 

[25.1.2021 | 14:15:39] [NoOne]: Nie :) 

[25.1.2021 | 14:15:46] [..nath]: Tak 

[25.1.2021 | 14:15:53] [NoOne]: Nie <a:kiss:777931710469374024> 

[25.1.2021 | 14:15:55] [..nath]: Bo cię znajdę  i będę przy tobie siedzieć 

[25.1.2021 | 14:16:2] [NoOne]: Miło :) 

[25.1.2021 | 14:16:17] [..nath]: Masz się bać, a nie cieszysz 

[25.1.2021 | 14:16:33] [NoOne]: Ale się cieszę 

[25.1.2021 | 14:16:44] [NoOne]: Udawajmy,  że się boje 

[25.1.2021 | 14:16:50] [..nath]: No ale to ka cie będę pilnować, a nie ty mnie 

[25.1.2021 | 14:16:52] [..nath]: 😘 

[25.1.2021 | 14:16:57] [NoOne]: Najwyżej 

[25.1.2021 | 14:17:21] [..nath]: Nie no źle to by się skończyło dla ciebie 

[25.1.2021 | 14:17:34] [NoOne]: Może <:PanShrug:753533268548124672> 

[25.1.2021 | 14:18:14] [NoOne]: Ale jak se posiedzimy i pogadamy to może być  😁 

[25.1.2021 | 14:18:38] [..nath]: Tak na parę godzin mi się nie opłaca 

[25.1.2021 | 14:18:48] [..nath]: Bo 10h bym do  ciebie jechała 

[25.1.2021 | 14:19:7] [NoOne]: Może 

[25.1.2021 | 14:19:13] [NoOne]: A może ssy od kolegi nie pomogą 

[25.1.2021 | 14:19:15] [NoOne]: ;) 

[25.1.2021 | 14:19:28] [NoOne]: Mapa wielką 

[25.1.2021 | 14:19:33] [NoOne]: Wielka* 

[25.1.2021 | 14:19:39] [NoOne]: Ludzi trochę znam w kraju 

[25.1.2021 | 14:19:54] [NoOne]: Zmieniam lokalizacje co chwilę jeśli chcę 😋 

[25.1.2021 | 14:20:5] [..nath]: No aha?? 

[25.1.2021 | 14:20:13] [..nath]: Ja chce do ciebie jechać 10h 

[25.1.2021 | 14:20:20] [..nath]: A ty mu chcesz spierdzielić 

[25.1.2021 | 14:20:33] [NoOne]: A może nie masz 10 h 

[25.1.2021 | 14:20:35] [NoOne]: Kto wie 

[25.1.2021 | 14:21:15] [..nath]: To już mój interes 

[25.1.2021 | 14:21:49] [NoOne]: Zaczynam się obawiać o życie 

[25.1.2021 | 14:22:0] [..nath]: No aha 

[25.1.2021 | 14:22:11] [..nath]: To ze biegam z nożem to nic nie znaczy 

[25.1.2021 | 14:22:23] [NoOne]: Z nożem to może kazdyw biegać 

[25.1.2021 | 14:22:29] [..nath]: Niby tak 

[25.1.2021 | 14:22:40] [NoOne]: Nom 

[25.1.2021 | 14:22:48] [..nath]: Zależy czy się go jeszcze używa 

[25.1.2021 | 14:23:6] [NoOne]: Zależy czy się potrafi go użyć :) 

[25.1.2021 | 14:23:35] [..nath]: Wypróbuję w wakacje na patryczku tej szma ci2 

[25.1.2021 | 14:23:59] [NoOne]: Ej dobra 

[25.1.2021 | 14:24:1] [NoOne]: Boje się 

[25.1.2021 | 14:24:4] [NoOne]: <:AK_monkaS:752082934651158538> 

[25.1.2021 | 14:24:48] [..nath]: Jeżeli nie znczniesz mnie wyzywać przy skejtparku pełnym ludzi od ułanców, pizd, szmat i łatwych 

[25.1.2021 | 14:24:53] [..nath]: No aha 

[25.1.2021 | 14:25:6] [NoOne]: Nie mam zamiaru 

[25.1.2021 | 14:25:9] [NoOne]: Nie zacznę 

[25.1.2021 | 14:25:14] [..nath]: No ja mam nadzieje 

[25.1.2021 | 14:25:20] [NoOne]: O to się nie martw 

[25.1.2021 | 14:25:20] [..nath]: Bo krew będzie płynąć 

[25.1.2021 | 14:25:36] [NoOne]: <:AK_Pandacry:764708284791652382> 

[25.1.2021 | 14:26:48] [NoOne]: Nie rób nic sobie 

[25.1.2021 | 14:27:16][..nath]: Patryczek ta szma ta 😩 🤌 [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803254662203310190/Screenshot_2020-09-25-18-52-42.png] 

[25.1.2021 | 14:27:35] [..nath]: Sobie nic, ale jemu tak 

[25.1.2021 | 14:27:54] [..nath]: I tak jesteśmy uwowieni na solo 

[25.1.2021 | 14:28:36] [NoOne]: 4.9 

[25.1.2021 | 14:28:41] [NoOne]: <#755759966312333312> 

[25.1.2021 | 14:28:47] [..nath]: Co 

[25.1.2021 | 14:28:52] [NoOne]: Przeczytaj 

[25.1.2021 | 14:29:10] [..nath]: On mi zezwolił 

[25.1.2021 | 14:29:23] [NoOne]: No chyba że 

[25.1.2021 | 14:29:45] [..nath]: Nom 

[25.1.2021 | 14:30:36] [NoOne]: To kiedy wpadasz xd 

[25.1.2021 | 14:30:49] [..nath]: No słuchaj 

[25.1.2021 | 14:30:55] [..nath]: Jak będę mogła 

[25.1.2021 | 14:31:24] [NoOne]: Ok, zaczekam 

[25.1.2021 | 14:32:23] [..nath]: Oki 

[25.1.2021 | 14:32:57] [NoOne]: :D 

[25.1.2021 | 14:33:26] [..nath]: Oh zrobił mi się 2 podbródel 

[25.1.2021 | 14:35:33] [..nath]: Pls dane mi nawalajà 

[25.1.2021 | 14:35:38] [..nath]: A net nie działa 

[25.1.2021 | 14:36:0] [NoOne]: Znam to :/ 

[25.1.2021 | 14:36:42] [NoOne]: Cóż 

[25.1.2021 | 14:36:42] [NoOne]: Idę zjeść obiad 

[25.1.2021 | 14:36:42] [NoOne]: Do później 

[25.1.2021 | 14:37:15] [..nath]: Smacznego 

[25.1.2021 | 14:37:17] [..nath]: ❤️ 

[25.1.2021 | 14:38:19] [NoOne]: Dziękuję :) 

[25.1.2021 | 14:42:19] [🐬 Bluenade_]: hejo ;-; 

[25.1.2021 | 14:52:7] [NoOne]: Hejka <@559073575340998668> 

[25.1.2021 | 14:52:15] [NoOne]: Wróciłem <@598536600493752320> 

[25.1.2021 | 14:52:20] [NoOne]: Sorki że tak długo :/ 

[25.1.2021 | 14:52:29] [NoOne]: Jedzenie ryżu pałeczkami ;-; 

[25.1.2021 | 14:54:2] [🐬 Bluenade_]: no hej hej 

[25.1.2021 | 14:54:10] [NoOne]: Jak tam 

[25.1.2021 | 14:56:10] [🐬 Bluenade_]: lepiej 

[25.1.2021 | 14:56:12] [🐬 Bluenade_]: troche 

[25.1.2021 | 14:56:16] [🐬 Bluenade_]: przespałam sie 

[25.1.2021 | 14:56:25] [🐬 Bluenade_]: i lepiej trochu 

[25.1.2021 | 14:56:33] [NoOne]: To dobrze 

[25.1.2021 | 14:56:41] [NoOne]: Odpoczywaj jeśli możesz 

[25.1.2021 | 14:58:37] [🐬 Bluenade_]: moge 

[25.1.2021 | 14:58:49] [🐬 Bluenade_]: i w sumie to odpoczywam całe dnie 

[25.1.2021 | 14:59:9] [NoOne]: I dobrze 

[25.1.2021 | 15:17:30] [..nath]: Spoczii 

[25.1.2021 | 15:17:33] [..nath]: I tak robię infe 

[25.1.2021 | 15:18:25] [sirvel_wolf]: wróciłem 

[25.1.2021 | 15:18:38] [sirvel_wolf]: co tam u was? 

[25.1.2021 | 15:18:56] [..nath]: No dobrze próbuje włączyć coś czego nie słuchałam na lekcji 

[25.1.2021 | 15:18:57] [..nath]: A tam? 

[25.1.2021 | 15:19:16] [sirvel_wolf]: a dobrze 

[25.1.2021 | 15:19:46] [sirvel_wolf]: zrobiłem prace domową z sieci komputerowych i mi sie nic nie chce 

[25.1.2021 | 15:20:0] [sirvel_wolf]: a musze odwiedzić babcie 

[25.1.2021 | 15:20:25] [..nath]: Oof 

[25.1.2021 | 15:20:28] [..nath]: To kiepsko 

[25.1.2021 | 15:21:20] [sirvel_wolf]: jutro mam projektowanie sieci komputerowych 

[25.1.2021 | 15:21:42] [sirvel_wolf]: 😕 

[25.1.2021 | 15:22:7] [sirvel_wolf]: więc bede słuchał tego samego nauczyciela 1,5 h 

[25.1.2021 | 15:22:28] [sirvel_wolf]: na szczęście zaczynam o 8 nie o 7 

[25.1.2021 | 15:22:51] [sirvel_wolf]: dobra ide odwiedzić babcie 

[25.1.2021 | 15:22:52] [sirvel_wolf]: pa 

[25.1.2021 | 15:31:52] [..nath]: Ty 

[25.1.2021 | 15:31:58] [..nath]: Jesteś na profilu z info? 

[25.1.2021 | 15:32:4] [..nath]: <@748566628953751552> 

[25.1.2021 | 15:42:24] [..nath]: Pls jest tu ktoś dobry z info? 

[25.1.2021 | 15:43:33] [🐬 Bluenade_]: Hellllllllo 

[25.1.2021 | 15:43:56] [..nath]: Hejkaa 

[25.1.2021 | 15:51:55] [..nath]: Gudhcftxc 

[25.1.2021 | 15:52:7] [..nath]: Czarny goth na białym śniegu 

[25.1.2021 | 15:52:20] [..nath]: Pls gorset mi zebra gniecie 

[25.1.2021 | 15:53:9] [NoOne]: :/ 

[25.1.2021 | 15:53:51] [..nath]: :))) 

[25.1.2021 | 15:53:58] [..nath]: Musze kupić inny 

[25.1.2021 | 15:54:3] [sirvel_wolf]: elo 

[25.1.2021 | 15:54:8] [..nath]: Hej 

[25.1.2021 | 15:54:17] [sirvel_wolf]: co tam 

[25.1.2021 | 15:54:35] [..nath]: Em no zastanawiam się w sumie, a tam? 

[25.1.2021 | 15:54:43] [sirvel_wolf]: dobrze 

[25.1.2021 | 15:54:55] [..nath]: To dobrze 

[25.1.2021 | 15:55:21] [sirvel_wolf]: nie wiem czy nie przejść kampanji titanfall 2 po raz czyba 7 

[25.1.2021 | 15:55:32] [sirvel_wolf]: *chyba 

[25.1.2021 | 15:55:47] [..nath]: Nie wiem co to, wiec idk 

[25.1.2021 | 15:56:1] [NoOne]: A nad czym <:6487_Shibathinking:786025231754985502> 

[25.1.2021 | 15:56:14] [sirvel_wolf]: dobra ide grać 

[25.1.2021 | 15:56:36] [..nath]: Em nad tym czy jak kolejny chłopak mówi do mnie misiu itd. To znaczy ze będzie chciał byc w związku 

[25.1.2021 | 15:57:55] [..nath]: Ps mam zdjęcie tej baby co mnie zostawił ex 

[25.1.2021 | 15:58:6] [..nath]: Z dobrych wieści 

[25.1.2021 | 15:58:12] [..nath]: To to, że zerwali juz 

[25.1.2021 | 15:58:27] [NoOne]: Smutne :( 

[25.1.2021 | 15:58:32] [..nath]: Nie 

[25.1.2021 | 15:58:41] [..nath]: Bo sama im tego życzyła 

[25.1.2021 | 15:58:56] [..nath]: Gdyby mnie jeszcze pamiętał to bym zarywała 

[25.1.2021 | 15:59:27][..nath]: 😩 🤌 [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803277861003067482/image3.jpg] 

[25.1.2021 | 16:0:43] [NoOne]: No wiem, ale nie o to chodziło 

[25.1.2021 | 16:0:48] [NoOne]: O coś całkiem innego 

[25.1.2021 | 16:0:53] [NoOne]: Wyrwane z kontekstu 

[25.1.2021 | 16:1:5] [..nath]: Em 

[25.1.2021 | 16:1:21] [..nath]: Dobra nie wiem 

[25.1.2021 | 16:1:29] [..nath]: Ważne, że nie są razem 

[25.1.2021 | 16:3:1] [..nath]: Jestem wredna? 

[25.1.2021 | 16:3:32] [NoOne]: Dla mnie nie 

[25.1.2021 | 16:3:58] [..nath]: A to gitez 

[25.1.2021 | 16:5:15] [..nath]: Pierwszy raz  jestem szczęśliwa od tego miesiąca 

[25.1.2021 | 16:6:24] [NoOne]: Cieszy mnie to :) 

[25.1.2021 | 16:6:42] [..nath]: 🤩 

[25.1.2021 | 16:7:4] [..nath]: Albo działają tabletki 

[25.1.2021 | 16:7:7] [NoOne]: Żebyś jeszcze taka została 

[25.1.2021 | 16:7:19] [..nath]: Oj takk 

[25.1.2021 | 16:7:24] [..nath]: Marzenie 

[25.1.2021 | 16:8:23] [NoOne]: Nom 

[25.1.2021 | 16:8:26] [NoOne]: Marzenie 

[25.1.2021 | 16:8:48] [NoOne]: Szkoda, że jedno z tych niespełnionych 

[25.1.2021 | 16:9:2] [..nath]: Musiałabym brać częściej tabletki 

[25.1.2021 | 16:9:6] [..nath]: Ale nie mogę 

[25.1.2021 | 16:10:41] [NoOne]: No tak 

[25.1.2021 | 16:10:53] [..nath]: Jeszcze przedawkuje 

[25.1.2021 | 16:12:25] [NoOne]: Nie próbuj 

[25.1.2021 | 16:22:53] [🐬 Bluenade_]: server 700+ a 3 osoby piszą na chacie 

[25.1.2021 | 16:23:2] [🐬 Bluenade_]: interesting 

[25.1.2021 | 16:26:21] [NoOne]: No widzisz 

[25.1.2021 | 16:26:27] [NoOne]: Bywa  i tak 

[25.1.2021 | 16:27:6] [..nath]: 🚪🏃 

[25.1.2021 | 16:27:12] [..nath]: Wieczne szczęście 

[25.1.2021 | 16:27:19] [NoOne]: :( 

[25.1.2021 | 16:27:30] [..nath]: :)) 

[25.1.2021 | 16:27:52] [NoOne]: :c 

[25.1.2021 | 16:28:2][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803285057958707210/ce0e272c291c805f7341da09d1d1afee.mp4] 

[25.1.2021 | 16:28:16][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803285113457868845/c0aee172476ad72e22276563e11b2d25.mp4] 

[25.1.2021 | 16:28:29] [..nath]: Imagine tak wyglądać 

[25.1.2021 | 16:28:41] [St3fan_K]: hi 

[25.1.2021 | 16:29:42][..nath]: Kora na moim pogrzebie be like: [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803285476567154708/f2b11fb79e8590de0500737ba0b50d43.mp4] 

[25.1.2021 | 16:29:57] [..nath]: Tfu wy jej nie znacie 

[25.1.2021 | 16:31:31] [🐬 Bluenade_]: zwykła egirl xD 

[25.1.2021 | 16:31:38] [..nath]: Ale mi się podoba 

[25.1.2021 | 16:31:47] [..nath]: *bi panic* 

[25.1.2021 | 16:32:29][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803286173753016370/ba1f89c76ffd1c2f0b46992d3d3c6878.mp4] 

[25.1.2021 | 16:32:42][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803286229281800222/e3932a27da44979261b8a9954280b657.mp4] 

[25.1.2021 | 16:32:57] [..nath]: To wam miałam wczoraj pokonać 

[25.1.2021 | 16:33:2] [..nath]: Imagine 

[25.1.2021 | 16:33:8] [NoOne]: Pog 

[25.1.2021 | 16:33:56] [..nath]: Jeżeli ta piosenka nie wyjdzie mi z głowy do piątku 

[25.1.2021 | 16:34:0] [..nath]: To będzie źle 

[25.1.2021 | 16:34:37] [NoOne]: :/ 

[25.1.2021 | 16:35:5] [..nath]: Bo będę szła sama kolo drogi albo kolo mostu 

[25.1.2021 | 16:35:53] [..nath]: Imagine moje koleżanki się spotkały 

[25.1.2021 | 16:39:26] [🐬 Bluenade_]: a propo tegi 

[25.1.2021 | 16:39:28] [🐬 Bluenade_]: tego* 

[25.1.2021 | 16:39:42] [🐬 Bluenade_]: to mi sie kiedyś bluzka spaliła :/ 

[25.1.2021 | 16:39:55] [🐬 Bluenade_]: dobrze że nie ja ale no rip bluzka 

[25.1.2021 | 16:40:1] [🐬 Bluenade_]: bo moja ulubiona 

[25.1.2021 | 16:40:7] [NoOne]: F 

[25.1.2021 | 16:42:2] [..nath]: F 

[25.1.2021 | 16:42:34] [🐬 Bluenade_]: szkoda że paliła sie razem ze mną 

[25.1.2021 | 16:42:39] [🐬 Bluenade_]: :') 

[25.1.2021 | 16:42:50] [..nath]: Ejjj 

[25.1.2021 | 16:43:1] [NoOne]: :( 

[25.1.2021 | 16:43:13] [..nath]: Imagine chcecie zobaczyć mój look na otwarcie kanałów? 

[25.1.2021 | 16:43:36] [🐬 Bluenade_]: chętnie 

[25.1.2021 | 16:43:43][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803289002030399558/20210125_164223.jpg] 

[25.1.2021 | 16:43:50] [🐬 Bluenade_]: nice xD 

[25.1.2021 | 16:43:52] [..nath]: Pięknie 

[25.1.2021 | 16:43:54] [NoOne]: No ładnie 

[25.1.2021 | 16:44:3] [🐬 Bluenade_]: ta hello kitty jest cudna 

[25.1.2021 | 16:44:7] [..nath]: No a jak 

[25.1.2021 | 16:44:24] [NoOne]: Taki cute dodatek 

[25.1.2021 | 16:44:25] [..nath]: Nie no to jest look do umierania 

[25.1.2021 | 16:44:36] [NoOne]: To go zmień 

[25.1.2021 | 16:44:48] [..nath]: Imagine nie chce mi się 

[25.1.2021 | 16:44:58] [🐬 Bluenade_]: czemu używasz imagine? 

[25.1.2021 | 16:44:58] [NoOne]: A jak poproszę🥺 

[25.1.2021 | 16:44:58] [🐬 Bluenade_]: like 

[25.1.2021 | 16:45:14] [..nath]: No nie,bo się w nim uczę 

[25.1.2021 | 16:45:19] [🐬 Bluenade_]: imagine używa sie wtedy kiedy kogoś jakby to tak tępisz 

[25.1.2021 | 16:45:23] [🐬 Bluenade_]: w siensie 

[25.1.2021 | 16:45:23] [..nath]: Idk Lubie te słowo 

[25.1.2021 | 16:45:39] [🐬 Bluenade_]: ktoś ci pisze "bro ur mom gay" 

[25.1.2021 | 16:45:42] [🐬 Bluenade_]: i odpisujesz 

[25.1.2021 | 16:45:52] [🐬 Bluenade_]: imagine saying that someones mom's gay 

[25.1.2021 | 16:46:31][..nath]: Piesek [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803289705998844003/20210125_164613.jpg] 

[25.1.2021 | 16:46:43] [NoOne]: Piesek 

[25.1.2021 | 16:47:13] [..nath]: Dobra brzydka jestem bez filtrów 

[25.1.2021 | 16:47:32] [NoOne]: Gadanie 

[25.1.2021 | 16:47:53] [..nath]: Co 

[25.1.2021 | 16:48:33] [NoOne]: Gadasz głupoty 

[25.1.2021 | 16:48:39] [..nath]: Chciałbyś 

[25.1.2021 | 16:48:57] [NoOne]: Mówię jak jest :) 

[25.1.2021 | 16:51:33] [..nath]: Nie 

[25.1.2021 | 16:51:42] [NoOne]: No to mówię jak ja to widzę 

[25.1.2021 | 16:53:43] [🐬 Bluenade_]: menwhile ja każde zdjęcie z filtrem 

[25.1.2021 | 16:53:50] [🐬 Bluenade_]: meanwhile* 

[25.1.2021 | 16:54:12] [NoOne]: Nie mam zdjęć 

[25.1.2021 | 16:54:14] [NoOne]: Łatwiej 

[25.1.2021 | 16:54:18] [NoOne]: Wybrać 

[25.1.2021 | 16:54:20] [NoOne]: Wtedy 

[25.1.2021 | 16:58:32][..nath]: Nie wiem czemu, ale mi się podoba ten styl [Image Link:https://cdn.discordapp.com/attachments/764928408231608350/803292734475468851/20210125_165540.jpg] 

[25.1.2021 | 16:58:55] [..nath]: Do tego pasek, torebka, glany i płaszcz 

[25.1.2021 | 16:59:12] [NoOne]: Do czego to look 

[25.1.2021 | 16:59:16] [..nath]: Inny mejap i uczesanie 

[25.1.2021 | 16:59:24] [..nath]: Idk do szkoły 

[25.1.2021 | 16:59:40] [NoOne]: Lepszy niż do umierania 

[25.1.2021 | 16:59:51] [..nath]: W tym też bym mogła umierać 

[25.1.2021 | 16:59:55] [..nath]: Tylko w inny sposób 

[25.1.2021 | 17:0:11] [..nath]: Bo taki styl mam gdy gdzieś wychodzę ;-; 

[25.1.2021 | 17:0:11] [NoOne]: Weź mnie nie dobijaj ;-; 

[25.1.2021 | 17:0:23] [..nath]: Ale ja bym mogła we wszystkim umierać ;-; 

[25.1.2021 | 17:0:38] [NoOne]: Jak każdy 

[25.1.2021 | 17:0:53] [..nath]: Tylko w tym bum wolała z dachu spadać 

[25.1.2021 | 17:1:5] [..nath]: A w dresie przedawkować 

[25.1.2021 | 17:1:6] [NoOne]: <:emoji_57:796514993402413086> 

[25.1.2021 | 17:1:14] [..nath]: Mam plan 

[25.1.2021 | 17:1:27] [..nath]: Ubiore się tak w piątek i pójdę na most 

[25.1.2021 | 17:1:30] [..nath]: 🤩 

[25.1.2021 | 17:1:47] [NoOne]: :( 

[25.1.2021 | 17:1:51] [..nath]: 🤩 

[25.1.2021 | 17:2:5] [🐬 Bluenade_]: ała 

[25.1.2021 | 17:2:10] [🐬 Bluenade_]: help 

[25.1.2021 | 17:2:15] [..nath]: Chyba, że nie będę czuła tego vibe 

[25.1.2021 | 17:2:24] [NoOne]: Co się stało <@559073575340998668> 

