[16.1.2021 | 16:31:38] [Cichy]: Test. 
[22.1.2021 | 13:29:7] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: Dsc* 

[22.1.2021 | 13:29:14] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: Dostałem jebanego autyzmu 

[22.1.2021 | 13:29:21] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: Za dużo tych kanałów 

[22.1.2021 | 13:29:41] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: <@689129555549618269> 

[22.1.2021 | 13:48:3] [👑 _PRYMEK_ 👑]: XD 

[22.1.2021 | 14:25:20] [Stasiek]: XD 

[22.1.2021 | 14:25:35] [Stasiek]: jestem na serwie co ma 1000os+ i ma ponad 500 

[22.1.2021 | 14:25:39] [Stasiek]: kanałów 

[22.1.2021 | 14:40:58] [👑 _PRYMEK_ 👑]: Aż tyle xD 

[22.1.2021 | 14:47:5] [Stasiek]: no 

[22.1.2021 | 15:7:45] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: Zegar ma raka 

[22.1.2021 | 15:10:34] [Stasiek]: ehhhh jakie to życie jest trudne muszę ponad 70 wspułprac na dzień 

[22.1.2021 | 16:44:31] [Stasiek]: <@!689129555549618269>  2 zaproszenia i 20 

[22.1.2021 | 16:44:33][Stasiek]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/802202052813520896/unknown.png] 

[22.1.2021 | 16:44:41] [Stasiek]: i jeszcze 

[22.1.2021 | 16:45:31][Stasiek]: baguje się [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/802202296754241546/unknown.png] 

[22.1.2021 | 16:45:56][Stasiek]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/802202400148553749/unknown.png] 

[22.1.2021 | 16:45:59] [Stasiek]: ,ega 

[22.1.2021 | 17:50:1] [👑 _PRYMEK_ 👑]: !inv <@772758787542351892> 

[22.1.2021 | 18:11:4] [bart.bruk]: !warn <@!689129555549618269> używanie komend ze #zarabiaj na #czaty 

[22.1.2021 | 18:11:13] [bart.bruk]: lol 

[22.1.2021 | 18:25:27] [SOKOLEK]: LOL 

[22.1.2021 | 18:38:38] [👑 _PRYMEK_ 👑]: Eeee 

[22.1.2021 | 18:38:41] [👑 _PRYMEK_ 👑]: Ale XD 

[22.1.2021 | 18:38:48] [👑 _PRYMEK_ 👑]: To nie jest komenda ekonomiczna 

[22.1.2021 | 18:38:56] [👑 _PRYMEK_ 👑]: Tylko ile ma zaproszeń xD 

[22.1.2021 | 18:39:7] [👑 _PRYMEK_ 👑]: W sensie miała taką wyjść 

[22.1.2021 | 18:39:9] [👑 _PRYMEK_ 👑]: A wyszła inna 

[22.1.2021 | 21:4:50] [Stasiek]: mam coś koło 300 

[22.1.2021 | 22:26:23] [SOKOLEK]: Prymek idziesz na pogadalnie? 

[22.1.2021 | 22:28:23] [SOKOLEK]: A ja się ciesze że miałeś bannika :)) 

[23.1.2021 | 13:29:41] [👑 _PRYMEK_ 👑]: A wgl ct? U was 

[23.1.2021 | 14:23:11] [Kacperek]: siema koledzy 

[23.1.2021 | 14:23:14] [Kacperek]: @maniek 

[23.1.2021 | 14:23:24] [Kacperek]: <@!476689904944939016> 

[23.1.2021 | 14:23:28] [Katakuri]: siema 

[23.1.2021 | 14:23:33] [Katakuri]: co tam 

[23.1.2021 | 14:23:37] [Kacperek]: https://cdn.discordapp.com/attachments/690672101366956092/801062356414758982/uganda_forever-1_1.gif 

[23.1.2021 | 15:26:34] [Rekin]: Hej 

[23.1.2021 | 16:2:19] [👑 _PRYMEK_ 👑]: Siema siema ct? 

[23.1.2021 | 16:36:53] [👑 _PRYMEK_ 👑]: I co <@695590947630743635> 

[23.1.2021 | 16:36:58] [👑 _PRYMEK_ 👑]: O której dzisiaj walki 

[23.1.2021 | 16:37:0] [👑 _PRYMEK_ 👑]: Robimy 

[23.1.2021 | 16:37:1] [👑 _PRYMEK_ 👑]: ? 

[23.1.2021 | 16:47:29] [Stasiek]: mi tam wszystko jedno 

[23.1.2021 | 22:44:45] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Na twoje życzenie 

[23.1.2021 | 22:44:52] [👑 _PRYMEK_ 👑]: Eee 

[23.1.2021 | 22:44:58] [👑 _PRYMEK_ 👑]: !user <@712974785793097799> 

[23.1.2021 | 22:45:9] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: ? 

[23.1.2021 | 22:45:25] [👑 _PRYMEK_ 👑]: Co 

[23.1.2021 | 22:45:26] [👑 _PRYMEK_ 👑]: ? 

[23.1.2021 | 22:46:7] [👑 _PRYMEK_ 👑]: Co ty od demnie chcesz 

[23.1.2021 | 22:46:34] [👑 _PRYMEK_ 👑]: Dobra masz banika 

[23.1.2021 | 22:46:36] [👑 _PRYMEK_ 👑]: Naura 

[23.1.2021 | 22:46:47] [👑 _PRYMEK_ 👑]: !ban <@712974785793097799> na własne życzenie ;) 

[23.1.2021 | 22:48:52] [👑 _PRYMEK_ 👑]: Jejka 

[23.1.2021 | 22:48:55] [👑 _PRYMEK_ 👑]: Rozumiecie to 

[23.1.2021 | 22:49:1] [👑 _PRYMEK_ 👑]: Że zablokował mnie dla tego 

[23.1.2021 | 22:49:10] [👑 _PRYMEK_ 👑]: Bo nie chciałem dać pingu everyone 

[23.1.2021 | 22:49:16] [👑 _PRYMEK_ 👑]: Na jego kanale 

[23.1.2021 | 22:49:18] [👑 _PRYMEK_ 👑]: XD 

[24.1.2021 | 13:16:47] [👑 _PRYMEK_ 👑]: !ban <@687383063671734370> pal gumę frajerko 

[24.1.2021 | 13:28:24] [👑 _PRYMEK_ 👑]: Ojoj jak mi przykro 

[24.1.2021 | 13:28:30] [SOKOLEK]: ALE menda NAURA raczeq 

[24.1.2021 | 13:36:13][👑 _PRYMEK_ 👑]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/802879435937808392/Screenshot_2021-01-24-13-34-43-11.jpg] 

[24.1.2021 | 13:36:18] [👑 _PRYMEK_ 👑]: Ale od razu zmieniał zdania 

[24.1.2021 | 13:36:21] [👑 _PRYMEK_ 👑]: Jak mu pisałem że 

[24.1.2021 | 13:36:26] [👑 _PRYMEK_ 👑]: Kopiuje nasz serwer 

[24.1.2021 | 13:36:32] [👑 _PRYMEK_ 👑]: To ten od razu o czym innym 

[24.1.2021 | 13:36:36] [👑 _PRYMEK_ 👑]: Także beka z niego 

[24.1.2021 | 13:44:5] [xKox]: <@!689129555549618269> odblokuj mnie ja prowadze z toba normalna konwersacje tekstowo w ktorej zadaje ci normalne pytania 

[24.1.2021 | 13:44:12] [xKox]: a ty mnie blokujesz 

[24.1.2021 | 13:44:16] [xKox]: aspoleczny jestesz czy ki chuj 

[24.1.2021 | 13:44:30] [👑 _PRYMEK_ 👑]: !bal <@500682123695620096> naura frajerko pedale 

[24.1.2021 | 13:44:37] [xKox]: asihdhuosafhilasfbhouwhiof 

[24.1.2021 | 13:44:43] [👑 _PRYMEK_ 👑]: !ban <@500682123695620096> naura frajerko pedale 

[24.1.2021 | 13:45:8] [👑 _PRYMEK_ 👑]: Oni są chorzy ci ludzie 

[24.1.2021 | 13:46:52] [👑 _PRYMEK_ 👑]: XD 

[24.1.2021 | 13:52:43] [SOKOLEK]: XD 

[24.1.2021 | 13:52:44] [SOKOLEK]: tak 

[24.1.2021 | 13:53:40][Stasiek]: <@!689129555549618269>  kurw a ja go zaprosiłem [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/802883824606380042/unknown.png] 

[24.1.2021 | 13:54:10] [Stasiek]: zresztą jak coś to ten <@!802480296129331240>  to mój brat 

[24.1.2021 | 14:7:28] [SOKOLEK]: ochodzę i przepraszam bywajcie 🙂 

[24.1.2021 | 14:7:50] [Stasiek]: bywaj 

[24.1.2021 | 14:14:56] [SOKOLEK]: przepraszam ze wychodzilen 

[24.1.2021 | 14:15:1] [SOKOLEK]: ale zostane 

[24.1.2021 | 14:26:32] [👑 _PRYMEK_ 👑]: Nadal nie wiem co oni ci nagadli 

[24.1.2021 | 14:39:17] [👑 _PRYMEK_ 👑]: !ban <@678244899367419936> zachciało się kidzie walony 

[24.1.2021 | 14:39:53] [👑 _PRYMEK_ 👑]: No z serwa 

[24.1.2021 | 14:39:56] [👑 _PRYMEK_ 👑]: Raczqa 

[24.1.2021 | 14:40:2] [👑 _PRYMEK_ 👑]: Wszyscy poszli w cholere 

[24.1.2021 | 14:40:3] [👑 _PRYMEK_ 👑]: XD 

[24.1.2021 | 14:47:54] [Stasiek]: ja jestem jakimś cudem u raczeq 

[24.1.2021 | 14:51:51] [SOKOLEK]: xD 

[24.1.2021 | 14:52:43] [╰☆╮ Chińczyk z Japonii  ╰☆╮]: ? 

[24.1.2021 | 14:53:7] [👑 _PRYMEK_ 👑]: A <@741760785608605726> jest spoko 

[24.1.2021 | 14:53:11] [👑 _PRYMEK_ 👑]: On może być 

[24.1.2021 | 14:56:9] [Stasiek]: już nie jestem zawiodłem 

[24.1.2021 | 14:56:31] [👑 _PRYMEK_ 👑]: Kogo zawiodłeś 

[24.1.2021 | 14:56:32] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[24.1.2021 | 15:1:7] [╰☆╮ Chińczyk z Japonii  ╰☆╮]: <@!689129555549618269> wyśle ci na pw 

[24.1.2021 | 15:6:22] [Stasiek]: zawiodłem 1 raz jako realizator zawiodłem n coś tam coś tam  serwer raczeq 

[24.1.2021 | 15:6:44] [👑 _PRYMEK_ 👑]: No i git 

[24.1.2021 | 15:7:57] [Stasiek]: może był twoim wrogiem ale moim nie odłączyłem się dlatego że nie chciałem stracić rangi 

[24.1.2021 | 15:8:21] [👑 _PRYMEK_ 👑]: Ok będę pamiętał 

[24.1.2021 | 15:19:28] [SOKOLEK]: Ok 

[24.1.2021 | 15:19:39] [SOKOLEK]: Oferowałem wam serwer 

[24.1.2021 | 15:19:59] [K3xiszon]: juz 

[24.1.2021 | 15:20:0] [K3xiszon]: elo 

[24.1.2021 | 15:20:1] [K3xiszon]: xd 

[24.1.2021 | 15:20:2] [SOKOLEK]: <:emoji_19:795196878131953694> 

[24.1.2021 | 15:20:8] [👑 _PRYMEK_ 👑]: Siema <@556836439095246878> 

[24.1.2021 | 15:20:10] [K3xiszon]: siema 

[24.1.2021 | 15:20:13] [K3xiszon]: daj swoja reklame 

[24.1.2021 | 15:20:14] [K3xiszon]: na p 

[24.1.2021 | 15:20:15] [K3xiszon]: pv 

[24.1.2021 | 22:21:19] [👑 _PRYMEK_ 👑]: Siema 

[24.1.2021 | 22:21:21] [👑 _PRYMEK_ 👑]: Jest ktoś 

[24.1.2021 | 22:21:22] [👑 _PRYMEK_ 👑]: ? 

[24.1.2021 | 22:21:24] [👑 _PRYMEK_ 👑]: <@607951368413773824> 

[24.1.2021 | 22:23:8] [SOKOLEK]: jestem 

[24.1.2021 | 23:55:23] [❤_Nezuko Kamado_❤]: Żyhe 

[25.1.2021 | 11:15:9] [Kokichi✔]: <@!689129555549618269> obiecałeś mi awans w poprzedni piątek 

[25.1.2021 | 11:34:58] [XeeMee]: co niektórzy robią na lekcji: 

[25.1.2021 | 11:35:0][XeeMee]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803211313085546536/unknown.png] 

[25.1.2021 | 11:35:40][XeeMee]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803211482623246356/unknown.png] 

[25.1.2021 | 11:57:44][XeeMee]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803217034825302036/unknown.png] 

[25.1.2021 | 11:57:53] [XeeMee]: ktoś coś by poprawił? 

[25.1.2021 | 11:58:27] [XeeMee]: zrobiłem to na Czarnej Godzinie (trzeba było zrobić postać) 

[25.1.2021 | 11:58:41] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ja te tylko dłuższe 

[25.1.2021 | 11:59:4][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803217370637664256/unknown.png] 

[25.1.2021 | 12:0:18][SOKOLEK]: Dobre zgapienie <@!689129555549618269> 🙂 [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803217682764922900/unknown.png] 

[25.1.2021 | 12:9:34] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ? 

[25.1.2021 | 12:9:56] [SOKOLEK]: Tam na Elevated TEAM 

[25.1.2021 | 12:9:57] [SOKOLEK]: xd 

[25.1.2021 | 12:18:2] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: a no 

[25.1.2021 | 12:31:39] [XeeMee]: s 

[25.1.2021 | 12:31:41] [XeeMee]: !delete 1 

[25.1.2021 | 12:31:45] [XeeMee]: aha 

[25.1.2021 | 12:31:56] [XeeMee]: (testowałem czy działa) 

[25.1.2021 | 13:17:57] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xdddddddddddd 

[25.1.2021 | 13:18:18] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: na mojim serwie 1 członek długo się trzymał ale zdechł 

[25.1.2021 | 13:18:36][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803237387743395840/unknown.png] 

[25.1.2021 | 14:0:55] [Baanan - Konto do partnerstw]: mozna partnerstswo? 

[25.1.2021 | 14:1:52] [Baanan - Konto do partnerstw]: <@!556836439095246878>  można partnerstwo? 

[25.1.2021 | 14:9:55] [K3xiszon]: ta 

[25.1.2021 | 14:9:57] [K3xiszon]: dm 

[25.1.2021 | 14:9:59] [K3xiszon]: odpisz 

[25.1.2021 | 14:10:2] [K3xiszon]: i daj reklame 

[25.1.2021 | 15:52:2] [K̋̀͑a̿̇̾c͒̍͆ẑ̔̏ȕ̅̒ć̀̎h͂̃̊á͊̈́]: Hej wszystkim 

[25.1.2021 | 16:0:8] [👑 _PRYMEK_ 👑]: Hej 

[25.1.2021 | 16:0:9] [👑 _PRYMEK_ 👑]: Ct? 

[25.1.2021 | 16:37:13] [👑 _PRYMEK_ 👑]: Boost wleciał 

[25.1.2021 | 16:37:15] [👑 _PRYMEK_ 👑]: :) 

[25.1.2021 | 18:23:12] [XeeMee]: są jakieś nagrody za wygranie turnieju ? 

[25.1.2021 | 18:23:20] [XeeMee]: tego w walkach 

[25.1.2021 | 18:23:54] [XeeMee]: ??? 

[25.1.2021 | 18:28:32] [👑 _PRYMEK_ 👑]: Tak hajsik 

[25.1.2021 | 18:28:56] [👑 _PRYMEK_ 👑]: Na ekonomii 

[25.1.2021 | 18:35:39] [Rekin]: <@689129555549618269> grasz ? 

[25.1.2021 | 20:32:36] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: eeeeeeeeeeeee  <@!689129555549618269>  my już jesteśmy 169 a nie 150 

[25.1.2021 | 20:34:25] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: kurw ten <@!159985870458322944>  jest pojeb*** to ja zaprosiłem kilka os a to pokazuje że prymek i jeszcze mega się buguje z tymi zaproszeniami 

[25.1.2021 | 20:35:17] [👑 _PRYMEK_ 👑]: Statystki patrz 

[25.1.2021 | 20:35:19] [👑 _PRYMEK_ 👑]: Jakby ck 

[25.1.2021 | 20:35:59] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: NO TO TO NIE MÓWI PRAWDY 

[25.1.2021 | 20:36:29] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: i niestety był nitro ale ktoś mi zabrał wczoraj ale są co tydzień więc git 

[25.1.2021 | 20:36:31][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803347591164067860/unknown.png] 

[25.1.2021 | 20:39:16] [👑 _PRYMEK_ 👑]: Ale gdzie 

[25.1.2021 | 20:39:19] [👑 _PRYMEK_ 👑]: ? 

[25.1.2021 | 21:2:47] [♫✰𝖟̇𝖆𝖑.𝖒𝖎.𝖈𝖎𝖊✰♫]: Witajcie 

[25.1.2021 | 21:43:24] [👑 _PRYMEK_ 👑]: Siemka 

[25.1.2021 | 22:15:5] [👑 _PRYMEK_ 👑]: Siema siema ct? U was 

[25.1.2021 | 22:15:6] [👑 _PRYMEK_ 👑]: ? 

[25.1.2021 | 22:15:11] [👑 _PRYMEK_ 👑]: <@607951368413773824> 

[25.1.2021 | 22:15:20] [👑 _PRYMEK_ 👑]: Co tak mało piszesz dzisiaj 

[25.1.2021 | 22:15:21] [👑 _PRYMEK_ 👑]: ? 

[26.1.2021 | 8:46:0] [linda]: piękny serwer <@!689129555549618269> 

[26.1.2021 | 8:48:39] [XeeMee]: <@!689129555549618269> kiedy jakiś konkurs albo giveaway? 

[26.1.2021 | 8:50:36] [XeeMee]: ?? 

[26.1.2021 | 9:4:46] [👑 _PRYMEK_ 👑]: Bardzo dziękuję :) 

[26.1.2021 | 9:4:57] [👑 _PRYMEK_ 👑]: Na 150 osb 

[26.1.2021 | 9:5:17] [XeeMee]: oki 

[26.1.2021 | 9:6:10] [linda👁🗨]: podobno mieliście atak hakera 

[26.1.2021 | 9:6:11][XeeMee]: jak ja kocham te pixelowe obrazki [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803536255530827776/unknown.png] 

[26.1.2021 | 9:6:18] [linda👁🗨]: czy to prawda? 

[26.1.2021 | 9:6:49] [XeeMee]: mam nawet do tego apke 

[26.1.2021 | 9:50:49] [👑 _PRYMEK_ 👑]: !user <@801091172235477042> 

[26.1.2021 | 9:50:53] [👑 _PRYMEK_ 👑]: Ok 

[26.1.2021 | 9:51:0] [👑 _PRYMEK_ 👑]: 6dni 

[26.1.2021 | 10:20:13] [K3xiszon]: <@!772758787542351892> ja nie dam rady na ten miesąc zrobic partnerstwa z powodu internetu :/ 

[26.1.2021 | 10:20:27] [K3xiszon]: więc do konca miesąca nie zrobie partnerstwa 

[26.1.2021 | 10:20:34] [K3xiszon]: ): 

[26.1.2021 | 10:25:53] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: kk 

[26.1.2021 | 12:14:11] [👑 _PRYMEK_ 👑]: XD 

[26.1.2021 | 12:14:12] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[26.1.2021 | 12:14:16] [👑 _PRYMEK_ 👑]: I te profilowe 

[26.1.2021 | 12:34:6][XeeMee]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803588575790235678/unknown.png] 

[26.1.2021 | 12:34:8] [XeeMee]: typowe 

[26.1.2021 | 12:46:52] [XeeMee]: bardzo typowe 

[26.1.2021 | 21:39:54] [SOKOLEK]: Siema 

[26.1.2021 | 21:39:58] [SOKOLEK]: Cy? 

[26.1.2021 | 21:40:10] [SOKOLEK]: Ct? * 

[26.1.2021 | 21:40:31] [linda👁🗨]: Dobry wieczór 

[26.1.2021 | 21:40:38] [linda👁🗨]: 🙂 

[26.1.2021 | 22:13:47] [👑 _PRYMEK_ 👑]: Dobry 

[26.1.2021 | 22:13:49] [👑 _PRYMEK_ 👑]: :) 

[26.1.2021 | 22:16:38] [👑 _PRYMEK_ 👑]: A tak wgl ct u was? 

[26.1.2021 | 22:16:42] [SOKOLEK]: Spk 

[26.1.2021 | 22:16:50] [SOKOLEK]: Leżę w łóżku. 

[26.1.2021 | 22:18:54] [👑 _PRYMEK_ 👑]: To git 

[26.1.2021 | 22:19:2] [👑 _PRYMEK_ 👑]: 😃 

[26.1.2021 | 22:20:48] [SOKOLEK]: :D 

[26.1.2021 | 22:28:22] [👑 _PRYMEK_ 👑]: :) 

[27.1.2021 | 9:12:48] [XeeMee]: jak się zdobywa <@&710547722192683058> 

[27.1.2021 | 9:13:2] [XeeMee]: coś trzeba zrobić czy sie nie da 

[27.1.2021 | 9:13:5] [XeeMee]: jak to jest? 

[27.1.2021 | 9:13:27] [👑 _PRYMEK_ 👑]: Rekru 

[27.1.2021 | 9:13:31] [👑 _PRYMEK_ 👑]: Trzeba ograbiać itp 

[27.1.2021 | 9:15:58] [XeeMee]: dobra zobacze 

[27.1.2021 | 9:17:19] [bart.bruk]: 200050 
za wszystkie role income 

[27.1.2021 | 9:18:12] [Kokichi✔]: <@!689129555549618269> zostały tylko 2 sloty role-income 

[27.1.2021 | 9:18:28] [Kokichi✔]: czyli tylko 2 rangi mogą jeszcze zarabiać 

[27.1.2021 | 9:24:9] [👑 _PRYMEK_ 👑]: W 1 stronie 

[27.1.2021 | 9:24:21] [👑 _PRYMEK_ 👑]: A później będzie 2 strona 

[27.1.2021 | 9:25:7] [Kokichi✔]: nie wiem czy to tak działa 

[27.1.2021 | 9:26:8] [👑 _PRYMEK_ 👑]: Ja wsm też xD 

[27.1.2021 | 9:32:12] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: <@!689129555549618269>  ale nas załatwiłeś na ostatniej literze xd 

[27.1.2021 | 9:33:45] [👑 _PRYMEK_ 👑]: Nom 

[27.1.2021 | 9:33:47] [👑 _PRYMEK_ 👑]: Hahhahhaahah 

[27.1.2021 | 10:14:37] [linda👁🗨]: <@!695590947630743635> siema Stasiek : ) 

[27.1.2021 | 10:18:29] [❤_Nezuko Kamado_❤]: ? 

[27.1.2021 | 10:31:16] [SOKOLEK]: Ty podobno avatara mini sokolka XDDD 

[27.1.2021 | 11:33:54] [Rekin]: <@!695590947630743635> malo aktywna jestes 

[27.1.2021 | 11:35:57] [❤_Nezuko Kamado_❤]: <@!689129555549618269> wie czemu 

[27.1.2021 | 11:37:21] [Rekin]: no aktywna masz byc 

[27.1.2021 | 11:37:26] [Rekin]: <@!695590947630743635> 

[27.1.2021 | 11:37:45] [❤_Nezuko Kamado_❤]: . 

[27.1.2021 | 11:42:22] [❤_Nezuko Kamado_❤]: więc nie sap sie 

[27.1.2021 | 11:44:17] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xd 

[27.1.2021 | 11:50:14] [❤_Nezuko Kamado_❤]: Wstajemy kochani 

[27.1.2021 | 11:51:4] [❤_Nezuko Kamado_❤]: nie ma spania 

[27.1.2021 | 11:51:19] [❤_Nezuko Kamado_❤]: pora wstawać lenie 

[27.1.2021 | 12:4:51][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xd [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803943601242898452/unknown.png] 

[27.1.2021 | 12:50:19] [👑 _PRYMEK_ 👑]: Co tam u was 

[27.1.2021 | 12:50:20] [👑 _PRYMEK_ 👑]: ? 

[27.1.2021 | 12:50:22] [👑 _PRYMEK_ 👑]: :) 

[27.1.2021 | 12:50:43] [XeeMee]: dobrze 

[27.1.2021 | 12:50:53] [XeeMee]: po lekcjach już (bardzo wcześnie) 

[27.1.2021 | 12:53:13] [👑 _PRYMEK_ 👑]: To git 

[27.1.2021 | 12:53:18] [👑 _PRYMEK_ 👑]: Idziesz na ekonomie ktoś 

[27.1.2021 | 13:5:34] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ja mam jeszcze lekcje :c 

[27.1.2021 | 13:18:46] [👑 _PRYMEK_ 👑]: Ja już nie :))))) 

[27.1.2021 | 13:36:49] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: prymek wywaliłmi serwer 

[27.1.2021 | 13:37:10] [👑 _PRYMEK_ 👑]: Co 

[27.1.2021 | 13:37:11] [👑 _PRYMEK_ 👑]: m 

[27.1.2021 | 13:37:35] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: mIałeś nieskonczoność chajsu lol 

[27.1.2021 | 13:37:41] [👑 _PRYMEK_ 👑]: Nadal mam 

[27.1.2021 | 13:37:45] [👑 _PRYMEK_ 👑]: Bo się wyświetlą 

[27.1.2021 | 13:37:52] [👑 _PRYMEK_ 👑]: Ale na serwie nie jestem 

[27.1.2021 | 13:37:58] [👑 _PRYMEK_ 👑]: Tak zawsze jest 

[27.1.2021 | 13:38:6] [👑 _PRYMEK_ 👑]: Że się wyświetlą nawet jak mnie nie ma 

[27.1.2021 | 13:38:8][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ja też mam [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803967079384350730/unknown.png] 

[27.1.2021 | 13:38:22] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xd 

[27.1.2021 | 13:38:32] [👑 _PRYMEK_ 👑]: Ale to nie ten serwer 

[27.1.2021 | 13:38:34] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: ale to serw do testu jak coś 

[27.1.2021 | 13:38:38] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: tak 

[27.1.2021 | 13:38:40] [👑 _PRYMEK_ 👑]: Zły serwer pokazujesz 

[27.1.2021 | 13:38:41] [👑 _PRYMEK_ 👑]: Nom 

[27.1.2021 | 13:38:50] [👑 _PRYMEK_ 👑]: A na twoim zawsze będę miał bo wyszedłem 

[27.1.2021 | 13:39:0] [👑 _PRYMEK_ 👑]: A jak wyszedłem nigdy mi chyba nie zabierzesz 

[27.1.2021 | 13:39:8] [👑 _PRYMEK_ 👑]: :) 

[27.1.2021 | 13:39:32] [Opasik]: Może komenda zresetować 

[27.1.2021 | 13:39:32] [Opasik]: XD 

[27.1.2021 | 13:39:33] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: wpisz w internecie jak się zabiera chajs z innego serwera xd 

[27.1.2021 | 13:39:42] [👑 _PRYMEK_ 👑]: Co 

[27.1.2021 | 13:39:43] [👑 _PRYMEK_ 👑]: ? 

[27.1.2021 | 13:39:46] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[27.1.2021 | 13:39:49] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: xd 

[27.1.2021 | 13:39:51] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: żart 

[27.1.2021 | 13:39:58] [👑 _PRYMEK_ 👑]: No chyba że ale oni już tam grają 

