[9.1.2021 | 20:2:19] [Kishunia]: Pora na tabletki. 

[16.1.2021 | 21:34:33] [po prostu kaczka]: Ile gotujecie jajko? 

[16.1.2021 | 21:34:42] [po prostu kaczka]: Lubicie galarete 

[16.1.2021 | 21:35:14] [po prostu kaczka]: Komputer sratatata majtki taty 

[16.1.2021 | 21:35:19] [po prostu kaczka]: Nie. 

[16.1.2021 | 21:35:22] [po prostu kaczka]: Są rzeczy ważniejsze 

[16.1.2021 | 21:35:23] [krasnal ogrodowy niko]: Ile razy będę powtadzal że znalazłem randomową ofertę z grafik w google żeby pokazać jak wygląda laptop? Jak do ściany 

[16.1.2021 | 21:35:23] [po prostu kaczka]: Np 

[16.1.2021 | 21:35:25] [po prostu kaczka]: BIGOS 

[16.1.2021 | 21:35:40] [krasnal ogrodowy niko]: Moje pianino dlatego nie kupiłem głupiego pc 

[16.1.2021 | 21:36:44] [Deamovsky]: no to zapytaj się ile kosztował? co za problem? 

[16.1.2021 | 21:37:23] [krasnal ogrodowy niko]: Nie będę pytał bo mam minimum kultury i wiem, że o cenę prezentów się nie pyta 

[16.1.2021 | 21:39:39] [krasnal ogrodowy niko]: Wut 

[16.1.2021 | 21:41:24] [po prostu kaczka]: Ignorujecie mój bigos 

[16.1.2021 | 21:41:28] [po prostu kaczka]: Bardzo niefajnie 

[16.1.2021 | 21:48:5] [Kishunia]: No ja pierdolę. 

[16.1.2021 | 21:48:12] [Kishunia]: Powinno wyjść inaczej. 

[16.1.2021 | 21:48:38] [Deamovsky]: ?? 

[16.1.2021 | 21:49:2] [Kishunia]: You wouldn't get it 

[16.1.2021 | 21:49:22] [Deamovsky]: ok ok 

[16.1.2021 | 22:21:41] [Kishunia]: Osoby nienawidzące JoJo nie mogą nienawidzić JoJo bo to nawiązanie do JoJo 

[16.1.2021 | 22:22:32] [Deamovsky]: XD 

[16.1.2021 | 22:23:2] [Deamovsky]: a jak osoba oglądała jojo ale nie ocenia go jakoś bardzo wysoko? 

[16.1.2021 | 22:24:45] [Kishunia]: Zapytaj fana JoJo który nieinronicznie je ogląda 

[16.1.2021 | 22:36:6] [krasnal ogrodowy niko]: Nie oglądałem, ale nie podoba mi się kreska 

[16.1.2021 | 22:36:13] [krasnal ogrodowy niko]: Memy z tego są 

[16.1.2021 | 22:36:40] [Kishunia]: Imagine 

[16.1.2021 | 22:36:46] [Kishunia]: Oglądać party 1-3 

[16.1.2021 | 22:36:59] [Kishunia]: W sensie 

[16.1.2021 | 22:37:4] [Kishunia]: 3 się ogląda dla beki 

[16.1.2021 | 22:37:7] [Kishunia]: Tak jak 4 

[16.1.2021 | 22:37:19] [Kishunia]: Dopiero 6 się ogląda na poważnie 

[16.1.2021 | 22:39:56] [Deamovsky]: a part 5? 

[16.1.2021 | 22:43:48] [Kishunia]: Nie mówmy o part. 5. 

[16.1.2021 | 22:52:3] [Deamovsky]: no okej 

[16.1.2021 | 22:58:57] [18seba03]: Ja tam Jojo nie oglądam bo to Gothic machinima tylko że z budżetem 

[16.1.2021 | 22:59:2] [18seba03]: <:SipTea:798193947553562684> 

[17.1.2021 | 14:11:35] [_Zack_]: KURWAAA 

[17.1.2021 | 14:11:40] [_Zack_]: pisałem już kp 

[17.1.2021 | 14:11:43] [_Zack_]: I zamkanlem 

[17.1.2021 | 14:11:49] [_Zack_]: A już miałem gotowe 

[17.1.2021 | 14:11:51] [_Zack_]: Jprdl 

[17.1.2021 | 14:11:55] [_Zack_]: Idę się powiesić 

[17.1.2021 | 14:12:41] [krasnal ogrodowy niko]: O Jezu 

[17.1.2021 | 14:12:43] [krasnal ogrodowy niko]: Ałć 

[17.1.2021 | 14:12:46] [krasnal ogrodowy niko]: Boli w mózg 

[17.1.2021 | 14:13:34] [_Zack_]: Chuj 

[17.1.2021 | 14:13:37] [_Zack_]: Godzina pisania 

[17.1.2021 | 14:13:39] [_Zack_]: W pzidu 

[17.1.2021 | 14:13:45] [_Zack_]: Jak nie 1.5 

[17.1.2021 | 14:13:57] [krasnal ogrodowy niko]: Jezu szkoda mi cię teraz 

[17.1.2021 | 14:14:9] [krasnal ogrodowy niko]: Przykro 

[17.1.2021 | 14:14:13] [krasnal ogrodowy niko]: Musiałeś się napracować 

[17.1.2021 | 14:14:31] [_Zack_]: No napiszę najwyżej jutro bo dziś to już wkurw 

[17.1.2021 | 14:18:9] [_Zack_]: Kuzwa 

[17.1.2021 | 14:18:11] [_Zack_]: Alleluja 

[17.1.2021 | 14:18:12] [_Zack_]: Jest 

[17.1.2021 | 14:34:11] [_Zack_]: dobra 

[17.1.2021 | 14:34:14] [_Zack_]: zrobiłem kapejke 

[17.1.2021 | 15:1:55] [_Zack_]: to jak zrobić tego tuppera czy cos 

[17.1.2021 | 15:10:39] [DoctorToxic]: A po co nam Tuppery 

[17.1.2021 | 15:12:15] [_Zack_]: już mom 

[17.1.2021 | 20:27:37] [_Zack_]: ryba why 

[17.1.2021 | 20:41:18] [Grylled]: bo była by animu 

[17.1.2021 | 20:42:2] [_Zack_]: no to bym nie patrzył xd 

[17.1.2021 | 20:42:16] [_Zack_]: a tak serio no to 

[17.1.2021 | 20:42:41] [_Zack_]: nie mam nic mądrego do powiedenia 

[17.1.2021 | 20:53:31] [krasnal ogrodowy niko]: Czemu?... 

[17.1.2021 | 21:3:14] [po prostu kaczka]: Bo nie widzę nikogo z kim mogłabym mieć fajny wątek 

[17.1.2021 | 21:4:16] [krasnal ogrodowy niko]: A ja? Będę robić nową postać 

[17.1.2021 | 21:4:21] [krasnal ogrodowy niko]: Piołun ma tutaj postacie 

[17.1.2021 | 22:27:24] [18seba03]: <:SipTea:798193947553562684> 

[17.1.2021 | 22:41:52] [krasnal ogrodowy niko]: Co tam u was? 

[17.1.2021 | 22:41:54] [krasnal ogrodowy niko]: <@&795268997955584042> 

[17.1.2021 | 22:42:6] [krasnal ogrodowy niko]: Jak się czujecie na myśl, że jutro szkoła? 

[17.1.2021 | 22:42:59] [18seba03]: Ta bardzo dobrze wstać o 7:30 by 10 minut później pójść na 3 godziny matmy bez przerwy 

[17.1.2021 | 22:43:6] [Froginsocks]: Źle (': 

[17.1.2021 | 22:43:10] [18seba03]: Jestem pełen energii wręcz 

[17.1.2021 | 22:43:21] [krasnal ogrodowy niko]: Ojoj, współczuję 

[17.1.2021 | 22:43:36] [krasnal ogrodowy niko]: Ja też :"D 

[17.1.2021 | 22:44:24] [18seba03]: Matma to w sumie nic, potem 1 godzina Mechata a następnie 2 Uismu, walić to że to jedno i to samo ale rozdzielili nam na 2 przedmioty. Potem religia to drzemka lub rundka w lola 

[17.1.2021 | 22:44:56] [krasnal ogrodowy niko]: Ja będę musiał mieć cały czas kamerę i mikrofon włączony mieć 

[17.1.2021 | 22:45:6] [krasnal ogrodowy niko]: Nici ze sprzątania w trakcie :( 

[17.1.2021 | 22:45:9] [krasnal ogrodowy niko]: I robienia obiadu 

[17.1.2021 | 22:45:20] [krasnal ogrodowy niko]: Chyba że powiem nauczycielce że muszę zrobić obiad dla dziadków i braci 

[17.1.2021 | 22:45:34] [krasnal ogrodowy niko]: Co to mechata i uismu? 

[17.1.2021 | 22:45:36] [18seba03]: Ja to kamery nie muszę mieć więc tyle fajnego 

[17.1.2021 | 22:45:48] [krasnal ogrodowy niko]: To fajno masz 

[17.1.2021 | 22:45:54] [18seba03]: Mechatronika, Urządzenia i systemy mechatroniczne 

[17.1.2021 | 22:46:24] [krasnal ogrodowy niko]: Czarna magia 

[17.1.2021 | 22:46:33] [18seba03]: Coś w ten deseng 

[17.1.2021 | 22:47:1] [krasnal ogrodowy niko]: Na jakim kierunku jesteś? 

[17.1.2021 | 22:47:38] [18seba03]: Mechatronik 

[17.1.2021 | 22:47:45] [krasnal ogrodowy niko]: Oo 

[17.1.2021 | 22:47:53] [krasnal ogrodowy niko]: Fajno 

[17.1.2021 | 22:48:2] [18seba03]: Fajno i nie fajno 

[17.1.2021 | 22:48:40] [_Zack_]: Lolz 

[17.1.2021 | 22:49:7] [_Zack_]: Ja na lekcjach śpię 

[17.1.2021 | 22:49:18] [_Zack_]: Jutro tylko 6 lekcji 

[17.1.2021 | 22:49:22] [_Zack_]: Milutko 

[17.1.2021 | 22:49:43] [krasnal ogrodowy niko]: Ale fajnie masz ;_; 

[17.1.2021 | 22:50:7] [krasnal ogrodowy niko]: Ja mam do szesnastej, przerwę i jeszcze na siedemnastą koło 

[17.1.2021 | 22:50:8] [18seba03]: Ja robię print screeny z Mechata głównie bo pisać mi się nie chce ale na matmie u Agatki.... Ojjjj lepiej nie spać 

[17.1.2021 | 22:50:43] [krasnal ogrodowy niko]: To u mni tak jest z polaka 

[17.1.2021 | 22:51:8] [_Zack_]: ~~Kierwa akcja koło Ameryki, a 90% postaci to japońce~~ 

[17.1.2021 | 22:51:21] [_Zack_]: U mnie z polskiego zbierze zeszyty pewno 

[17.1.2021 | 22:51:27] [_Zack_]: A Ja mało co mam 

[17.1.2021 | 22:51:30] [_Zack_]: No ale cusz 

[17.1.2021 | 22:51:34] [krasnal ogrodowy niko]: Nie można za bardzo nie kontaktować bo baba cię wywoła,   i nawet nie wiesz co masz jej powiedzieć 

[17.1.2021 | 22:51:40] [krasnal ogrodowy niko]: Bro 

[17.1.2021 | 22:51:51] [krasnal ogrodowy niko]: W fabułę jest ze wszystkich wyznań itp itd 

[17.1.2021 | 22:52:6] [_Zack_]: No wiem, wiem 

[17.1.2021 | 22:52:42] [_Zack_]: Ale jednak bliżej jest chyba amerykanom i meksykanom. Chociaż co ja tam wiem sam przyplynalem motorówką 

[17.1.2021 | 22:53:52] [cheeto pizzerini]: Moja postać z Etiopii: 🧍‍♀️ ✌️ 

[17.1.2021 | 22:53:59] [krasnal ogrodowy niko]: Ta 

[17.1.2021 | 22:54:1] [krasnal ogrodowy niko]: XD 

[17.1.2021 | 22:54:24] [krasnal ogrodowy niko]: Ej ktoś z was oglądał kiedyś ninjago? 

[17.1.2021 | 22:54:28] [cheeto pizzerini]: ja 

[17.1.2021 | 22:54:35] [krasnal ogrodowy niko]: I oglądasz anime? 

[17.1.2021 | 22:55:2] [cheeto pizzerini]: ale tak normalnie czy jest jakieś anime ninjago 

[17.1.2021 | 22:55:5] [cheeto pizzerini]: xd? 

[17.1.2021 | 22:55:20] [krasnal ogrodowy niko]: Tak normalnie 

[17.1.2021 | 22:55:36] [krasnal ogrodowy niko]: <@635863361317371923>  mam pytanie 

[17.1.2021 | 22:55:42] [krasnal ogrodowy niko]: Jaką masz postać? 

[17.1.2021 | 22:55:49] [Froginsocks]: Darlinga 

[17.1.2021 | 22:55:51] [krasnal ogrodowy niko]: Normalnie 

[17.1.2021 | 22:55:56] [_Zack_]: Ja to anime ~~palę w piecu~~ 

[17.1.2021 | 22:55:56] [krasnal ogrodowy niko]: aaaaaaqa 

[17.1.2021 | 22:56:3] [krasnal ogrodowy niko]: Bo miałem mindfuck 

[17.1.2021 | 22:56:6] [cheeto pizzerini]: no to tak 

[17.1.2021 | 22:56:8] [Froginsocks]: XD 

[17.1.2021 | 22:56:14] [krasnal ogrodowy niko]: I se myślę kurde kto to jest 

[17.1.2021 | 22:56:19] [cheeto pizzerini]: ~~nie zesraj sie~~ 

[17.1.2021 | 22:56:22] [krasnal ogrodowy niko]: BOOM 

[17.1.2021 | 22:56:27] [cheeto pizzerini]: xd żarcik kosmonaucik 

[17.1.2021 | 22:56:33] [cheeto pizzerini]: bom 

[17.1.2021 | 22:56:35] [cheeto pizzerini]: bum 

[17.1.2021 | 22:56:45] [krasnal ogrodowy niko]: Każdy kto oglądał ninjago przeszedł prędzej czy później do anime 

[17.1.2021 | 22:56:50] [krasnal ogrodowy niko]: Change my mind 

[17.1.2021 | 22:56:53] [_Zack_]: ~~właśnie to zrobiłem. Pokazać Ci jakiego fajnego kloca zrobiłem?~~ 

[17.1.2021 | 22:56:59] [cheeto pizzerini]: omg tak 

[17.1.2021 | 22:57:4] [cheeto pizzerini]: ale na <#787839589578047498> 

[17.1.2021 | 22:57:12] [krasnal ogrodowy niko]: O nie 

[17.1.2021 | 22:57:22] [krasnal ogrodowy niko]: Nutella 

[17.1.2021 | 22:57:35] [cheeto pizzerini]: oba jadalne 

[17.1.2021 | 22:57:36] [_Zack_]: Nie spodziewałem się takiej odpowiedzi 

[17.1.2021 | 22:57:41] [cheeto pizzerini]: no widzisz 

[17.1.2021 | 22:57:44] [krasnal ogrodowy niko]: Co- 

[17.1.2021 | 22:57:47] [cheeto pizzerini]: ale serio wyslij 

[17.1.2021 | 22:57:50] [_Zack_]: Jakiś fetysz? 

[17.1.2021 | 22:57:50] [cheeto pizzerini]: wsensie 

[17.1.2021 | 22:57:51] [krasnal ogrodowy niko]: CO- 

[17.1.2021 | 22:57:56] [krasnal ogrodowy niko]: Kto jadł gówno 

[17.1.2021 | 22:58:16] [cheeto pizzerini]: no nie wiem to ty chcesz pokazywać 

[17.1.2021 | 22:58:24] [cheeto pizzerini]: ja tylko wyraziłam zainteresowanie 

[17.1.2021 | 22:58:29] [cheeto pizzerini]: ogertą 

[17.1.2021 | 22:58:32] [cheeto pizzerini]: ofertą 

[17.1.2021 | 22:58:35] [_Zack_]: Chuja mogę wysłać 

[17.1.2021 | 22:58:39] [cheeto pizzerini]: ok 

[17.1.2021 | 22:58:43] [cheeto pizzerini]: wyślij pls 

[17.1.2021 | 22:58:48] [_Zack_]: Bo jest zasłonięty dżunglą 

[17.1.2021 | 22:58:53] [cheeto pizzerini]: mniam 

[17.1.2021 | 22:59:7] [cheeto pizzerini]: wysyłaj 

[17.1.2021 | 22:59:13] [cheeto pizzerini]: jak sie nie boisz 

[17.1.2021 | 22:59:30] [_Zack_]: <:pepega:787730983771832371> 

[17.1.2021 | 22:59:42] [_Zack_]: Wezmę tabletki na potencję 

[17.1.2021 | 22:59:48] [cheeto pizzerini]: czekam 

[17.1.2021 | 22:59:54] [cheeto pizzerini]: ja też swojego chuja wyśle 

[17.1.2021 | 22:59:59] [cheeto pizzerini]: jak ty wyslesz 

[17.1.2021 | 23:0:8] [krasnal ogrodowy niko]: ~~jezu Chryste~~ 

[17.1.2021 | 23:0:15] [cheeto pizzerini]: BBSUJSJIWOWIJIWIHNANAJJIA 

[17.1.2021 | 23:0:23] [po prostu kaczka]: Z tobą już piszę piołun mnie nie lubi i ogólnie tu tak no emh 

[17.1.2021 | 23:0:27] [_Zack_]: Tobie też mogę wysłać <@697153934246150185> 

[17.1.2021 | 23:0:34] [_Zack_]: <:pepega:787730983771832371> 

[17.1.2021 | 23:0:39] [cheeto pizzerini]: jezu nie wysyłaj mu 

[17.1.2021 | 23:0:39] [krasnal ogrodowy niko]: NIE- 

[17.1.2021 | 23:0:42] [cheeto pizzerini]: zboczeńcu 

[17.1.2021 | 23:0:44] [cheeto pizzerini]: ochydny 

[17.1.2021 | 23:0:49] [_Zack_]: Xd 

[17.1.2021 | 23:0:51] [cheeto pizzerini]: na <#787839589578047498> 

[17.1.2021 | 23:0:52] [cheeto pizzerini]: wyślij 

[17.1.2021 | 23:0:57] [po prostu kaczka]: Ja mam ten "luksus" że nie miałam de facto ferii i nic się dla mnie nie zmienia tylko wykłady będą częściej i dłuższe 

[17.1.2021 | 23:1:1] [cheeto pizzerini]: sie wymienimy fotkami 

[17.1.2021 | 23:1:15] [_Zack_]: Spokojnie żarcik 

[17.1.2021 | 23:1:18] [cheeto pizzerini]: chujowo sie czuje 

[17.1.2021 | 23:1:22] [po prostu kaczka]: Czemu nie no czemu 

[17.1.2021 | 23:1:25] [cheeto pizzerini]: z tą myślą 

[17.1.2021 | 23:1:26] [po prostu kaczka]: Nsfw jest od tego 

[17.1.2021 | 23:1:29] [po prostu kaczka]: Chcecie mojego nudesa? 

[17.1.2021 | 23:1:33] [cheeto pizzerini]: tak 

[17.1.2021 | 23:1:36] [po prostu kaczka]: Łapcie mojego nudesa 

[17.1.2021 | 23:1:39] [po prostu kaczka]: Leco 

[17.1.2021 | 23:1:42] [po prostu kaczka]: Leci 

[17.1.2021 | 23:1:43] [_Zack_]: A jesteś chopem czy babom 

[17.1.2021 | 23:1:45] [po prostu kaczka]: Łapcie za nogi 

[17.1.2021 | 23:1:47] [cheeto pizzerini]: dobra dawaj 

[17.1.2021 | 23:1:50] [cheeto pizzerini]: szybko 

[17.1.2021 | 23:1:52] [krasnal ogrodowy niko]: A jesteś babom czy babom 

[17.1.2021 | 23:1:57] [po prostu kaczka]: Jestem elfem 

[17.1.2021 | 23:2:3] [cheeto pizzerini]: jestes chopem czy chopem? 

[17.1.2021 | 23:2:5] [krasnal ogrodowy niko]: Też spoko 

[17.1.2021 | 23:2:9] [_Zack_]: O uwielbiam elfickie porno 

[17.1.2021 | 23:2:13] [cheeto pizzerini]: ja jestem mikroorganizmem 

[17.1.2021 | 23:2:13] [krasnal ogrodowy niko]: Marsjaninem 

[17.1.2021 | 23:2:13] [po prostu kaczka]: HAhAh hElikoPteR bOjowY hahaha 

[17.1.2021 | 23:2:14] [_Zack_]: Z krasnoludami 

[17.1.2021 | 23:2:16] [po prostu kaczka]: Gdzie 

[17.1.2021 | 23:2:19] [po prostu kaczka]: Gdzie iest moj order 

[17.1.2021 | 23:2:31] [cheeto pizzerini]: order śmiesznego rzartu 

[17.1.2021 | 23:2:34] [po prostu kaczka]: Najsmieszniejszego czlowieka 2021? 

[17.1.2021 | 23:2:34] [cheeto pizzerini]: leci jusz 

[17.1.2021 | 23:2:48] [po prostu kaczka]: Ahahahah trans helikopter mikorofalówka hihi 

[17.1.2021 | 23:2:56] [po prostu kaczka]: Żegnam 

[17.1.2021 | 23:2:57] [krasnal ogrodowy niko]: Ej 

[17.1.2021 | 23:3:2] [krasnal ogrodowy niko]: Muszę się wam do czegoś przyznać 

[17.1.2021 | 23:3:15] [cheeto pizzerini]: słuchamy 

[17.1.2021 | 23:3:21] [krasnal ogrodowy niko]: Nie zlinczujecie mnie? 

[17.1.2021 | 23:3:28] [cheeto pizzerini]: nie 

[17.1.2021 | 23:3:29] [_Zack_]: Oglądasz henatie 

[17.1.2021 | 23:3:35] [cheeto pizzerini]: henatie 

[17.1.2021 | 23:3:41] [krasnal ogrodowy niko]: Fuj nie człowieku nie obrażaj mnie 

[17.1.2021 | 23:3:49] [_Zack_]: <:pepega:787730983771832371> 

[17.1.2021 | 23:3:50] [krasnal ogrodowy niko]: Ja utożsamiam się jako kamień 

[17.1.2021 | 23:3:54] [cheeto pizzerini]: omg 

[17.1.2021 | 23:3:59] [cheeto pizzerini]: znam takiego innego też 

[17.1.2021 | 23:4:0] [po prostu kaczka]: Yyyy zboczone 

[17.1.2021 | 23:4:7] [po prostu kaczka]: Jestes z tych ni 

[17.1.2021 | 23:4:8] [_Zack_]: Lubię porno z kamieniami 

[17.1.2021 | 23:4:8] [po prostu kaczka]: No 

[17.1.2021 | 23:4:11] [po prostu kaczka]: Lgbt? 

[17.1.2021 | 23:4:12] [cheeto pizzerini]: ja cie akceptuje ❤️ 

[17.1.2021 | 23:4:14] [po prostu kaczka]: Fu o jezu 

[17.1.2021 | 23:4:14] [krasnal ogrodowy niko]: Więc od dzisiaj jestem kamieniem 

[17.1.2021 | 23:4:17] [cheeto pizzerini]: lgbbq 

[17.1.2021 | 23:4:20] [po prostu kaczka]: Jak mozesz akceptowac lpg 

[17.1.2021 | 23:4:23] [krasnal ogrodowy niko]: Wyślę wam nudesq 

[17.1.2021 | 23:4:27] [po prostu kaczka]: To chore i wbrew bogu 

[17.1.2021 | 23:4:31] [cheeto pizzerini]: omg yes please 

[17.1.2021 | 23:4:36] [krasnal ogrodowy niko]: WIEM 

[17.1.2021 | 23:4:39] [po prostu kaczka]: NIEEE jak jesyes kamieniem to pewnie masz tam okaleczone jakies ja jie chce 

[17.1.2021 | 23:4:40] [krasnal ogrodowy niko]: Ale 

[17.1.2021 | 23:4:40] [_Zack_]: O tak uwielbiam kamienie 

[17.1.2021 | 23:4:42] [cheeto pizzerini]: ja se kamienie w odbyt wkładam 

[17.1.2021 | 23:4:47] [po prostu kaczka]: Bóg tego nie chce 

[17.1.2021 | 23:4:48] [_Zack_]: Mastrurbuje się przy nich 

[17.1.2021 | 23:4:49] [cheeto pizzerini]: okej przesadziłam 

[17.1.2021 | 23:4:50] [cheeto pizzerini]: chyba 

[17.1.2021 | 23:4:59] [po prostu kaczka]: Bog was opuscil? 

[17.1.2021 | 23:5:0] [po prostu kaczka]: Nie? 

[17.1.2021 | 23:5:3] [cheeto pizzerini]: tak 

[17.1.2021 | 23:5:3] [po prostu kaczka]: To ja was opuszcze 

[17.1.2021 | 23:5:10] [cheeto pizzerini]: to to samo 

[17.1.2021 | 23:5:16] [cheeto pizzerini]: jakby nas bug opuścił 

[17.1.2021 | 23:5:23] [po prostu kaczka]: Wiem i o to chodzi 

[17.1.2021 | 23:5:40] [cheeto pizzerini]: ide po zupke serowom brb 

[17.1.2021 | 23:6:7] [po prostu kaczka]: Zmartwychwstalam 

[17.1.2021 | 23:6:12] [po prostu kaczka]: Ake kiedyś odejde na zawsze 

[17.1.2021 | 23:6:19] [_Zack_]: O ty chuj bobrze 

[17.1.2021 | 23:6:31] [_Zack_]: Ja kocham kaczki 

[17.1.2021 | 23:6:33] [_Zack_]: Wiesz 

[17.1.2021 | 23:6:40] [_Zack_]: Jesteś białą kaczką 

[17.1.2021 | 23:6:41] [_Zack_]: ? 

[17.1.2021 | 23:8:51] [cheeto pizzerini]: umm 

[17.1.2021 | 23:8:58] [cheeto pizzerini]: a czemu kolor skóry ma znaczenie? 

[17.1.2021 | 23:9:7] [krasnal ogrodowy niko]: TY RASISTO 

[17.1.2021 | 23:12:34] [_Zack_]: Bo z białymi kaczkami  się umawiam 

[17.1.2021 | 23:12:43] [_Zack_]: Są ladniejsze 

[17.1.2021 | 23:13:35] [_Zack_]: Dobrze zackuś 

[17.1.2021 | 23:13:44][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/800488047484338204/Screenshot_2021-01-17-23-13-23-64.jpg] 

[17.1.2021 | 23:13:44] [_Zack_]: Za dużo testosteronu 

[17.1.2021 | 23:13:48] [_Zack_]: Idź spać 

[17.1.2021 | 23:14:31] [krasnal ogrodowy niko]: O jezu 

[17.1.2021 | 23:14:36] [krasnal ogrodowy niko]: Piołun jest potencjalnie aktywna 

[17.1.2021 | 23:14:42] [krasnal ogrodowy niko]: <@630518766463221771> przybywaj 

[17.1.2021 | 23:14:46][_Zack_]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/800488306181668914/Screenshot_20210117-231319_Clock.jpg] 

[17.1.2021 | 23:14:55] [krasnal ogrodowy niko]: XDDDD 

[17.1.2021 | 23:15:6] [krasnal ogrodowy niko]: Ale ty 

[17.1.2021 | 23:15:9] [krasnal ogrodowy niko]: Patrz na dopiski 

[17.1.2021 | 23:15:14] [piołun]: jestem 

[17.1.2021 | 23:15:17] [piołun]: i? 

[17.1.2021 | 23:15:20] [krasnal ogrodowy niko]: ŻYJESZ 

[17.1.2021 | 23:15:30] [krasnal ogrodowy niko]: Jak tam żyćko 

[17.1.2021 | 23:15:35][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/800488512960593961/Screenshot_20210117-231513_Clock.jpg] 

[17.1.2021 | 23:15:39] [piołun]: żyję xaly czas tylko nie mam co pisać 

[17.1.2021 | 23:15:40] [cheeto pizzerini]: Moje alarmy na ferie 

[17.1.2021 | 23:15:48] [krasnal ogrodowy niko]: Oj, krucho 

[17.1.2021 | 23:15:54] [krasnal ogrodowy niko]: O kurde 

[17.1.2021 | 23:16:5] [krasnal ogrodowy niko]: Ja nie miałem w ferie alarmów a i tak wstawałem wcześniej 

[17.1.2021 | 23:16:16] [piołun]: i raczej juz duzo nie popisze xd 

[17.1.2021 | 23:16:18] [cheeto pizzerini]: no bo jak ja chodze o 10 spać 

[17.1.2021 | 23:16:21] [cheeto pizzerini]: 10 rano 

[17.1.2021 | 23:16:31][Deamovsky]: Co wy wiecie o wczesnym wstawaniu [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/800488747954077696/Capture_2021-01-17-23-15-47.png] 

[17.1.2021 | 23:16:31] [krasnal ogrodowy niko]: Tak na zawsze? :O 

[17.1.2021 | 23:16:32] [cheeto pizzerini]: to matka ma ból dupy jak 18 wstaje 

[17.1.2021 | 23:16:33] [cheeto pizzerini]: XD 

[17.1.2021 | 23:16:50] [krasnal ogrodowy niko]: Chłopieee 

[17.1.2021 | 23:16:55] [krasnal ogrodowy niko]: W ferie to góra 4 

[17.1.2021 | 23:16:59] [krasnal ogrodowy niko]: Później już nie spałem 

[17.1.2021 | 23:17:7] [piołun]: Prawdopodobnie nie, ale nie wiem 

[17.1.2021 | 23:17:12] [krasnal ogrodowy niko]: ._. 

[17.1.2021 | 23:17:15] [krasnal ogrodowy niko]: Co ja będę robił 

[17.1.2021 | 23:17:30] [krasnal ogrodowy niko]: Kogo ja będę wkurzał swoim nienawidzeniem do hetero rp 

[17.1.2021 | 23:17:31] [krasnal ogrodowy niko]: ._. 

[17.1.2021 | 23:17:37] [piołun]: Kaczke 

[17.1.2021 | 23:17:45] [krasnal ogrodowy niko]: Ona mi nic nie pisze ;_; 

[17.1.2021 | 23:18:3] [krasnal ogrodowy niko]: A moja po fajki wyszła 

[17.1.2021 | 23:18:19] [krasnal ogrodowy niko]: Chcesz mieć spokój wyślij swoją 

[17.1.2021 | 23:18:35] [cheeto pizzerini]: nie palą 

[17.1.2021 | 23:18:39] [cheeto pizzerini]: moi starzy 

[17.1.2021 | 23:18:56] [krasnal ogrodowy niko]: Polecam 👌 🥸 

[17.1.2021 | 23:19:8] [piołun]: Ja tez nie i co 

[17.1.2021 | 23:19:10] [krasnal ogrodowy niko]: To po coś innego 

[17.1.2021 | 23:19:19] [krasnal ogrodowy niko]: ._. 

[17.1.2021 | 23:19:20] [cheeto pizzerini]: po mleqo 

[17.1.2021 | 23:19:25] [krasnal ogrodowy niko]: Właśnie 

[17.1.2021 | 23:19:30] [krasnal ogrodowy niko]: Dobry plan 

[17.1.2021 | 23:19:33] [cheeto pizzerini]: po monsterki 

[17.1.2021 | 23:19:38] [cheeto pizzerini]: ją wysyłam co 3 dni 

[17.1.2021 | 23:19:42] [cheeto pizzerini]: a i tak ma ból 

[17.1.2021 | 23:19:43] [_Zack_]: Ja to czekam aż Tommy przestanie się pierdzielić w tańcu 

[17.1.2021 | 23:19:54] [_Zack_]: I zacznie robić siabadaba 

[17.1.2021 | 23:20:2] [krasnal ogrodowy niko]: Plis nie 

[17.1.2021 | 23:20:6] [piołun]: Moze to przemilxze 

[17.1.2021 | 23:20:27] [krasnal ogrodowy niko]: Oj Zack nie chcesz 

[17.1.2021 | 23:20:27] [piołun]: ~~ich watek jest tak realistyczny jak wzrost niko szanujmy sie~~ 

[17.1.2021 | 23:20:40] [cheeto pizzerini]: yeah 

[17.1.2021 | 23:20:48] [_Zack_]: No co 

[17.1.2021 | 23:20:51] [krasnal ogrodowy niko]: I Właśnie dlatego tęskniłem -_- 

[17.1.2021 | 23:20:54] [_Zack_]: Saszka fajna dziewuxha 

